C++ Tutorial 2020,Derek banas,22:45,https://www.youtube.com/watch?v=6y0bp-mnYU0,45000
POINTERS in C++,The Cherno,16:58,https://www.youtube.com/watch?v=DTxHyVn0ODg,17001
Arrays in C++,The Cherno,18:30,https://www.youtube.com/watch?v=ENDaJi08jCU,61004
REFERENCES in C++,The Cherno, 10:22,https://www.youtube.com/watch?v=IzoFn3dfsPA&list=RDCMUCQ-W1KE9EYfdxhL6S4twUNw&index=2,12000
Virtual Functions in C++,The Cherno,06:45,https://www.youtube.com/watch?v=oIV2KchSyGQ&list=RDCMUCQ-W1KE9EYfdxhL6S4twUNw&index=9,6659
CLASSES in C++,The Cherno, 08:41,https://www.youtube.com/watch?v=2BP8NhxjrO0&list=RDCMUCQ-W1KE9EYfdxhL6S4twUNw&index=3,10001
